Date,Discharge_Capacity,group,static,index
2015-11-13 11:48:06,1.30463051795959,45007,1,927
2015-11-13 11:48:16,1.30463051795959,45007,1,928
2015-11-13 11:48:26,1.30463051795959,45007,1,929
2015-11-13 11:48:36,0,45007,1,930
2015-11-13 11:48:46,0,45007,1,931
2015-11-13 11:48:56,0,45007,1,932
2015-11-13 11:49:06,0,45007,1,933
2015-11-13 11:49:16,0,45007,1,934
2015-11-13 11:49:26,0,45007,1,935
2015-11-13 11:49:36,0,45007,1,936
2015-11-13 11:49:46,0,45007,1,937
2015-11-13 11:49:56,0,45007,1,938
2015-11-13 11:50:06,0,45007,1,939
2015-11-13 11:50:16,0,45007,1,940
2015-11-13 11:50:26,0,45007,1,941
2015-11-13 11:50:36,0,45007,1,942
2015-11-13 11:50:46,0,45007,1,943
2015-11-13 11:50:56,0,45007,1,944
2015-11-13 11:51:06,0,45007,1,945
2015-11-13 11:51:16,0,45007,1,946
2015-11-13 11:51:26,0,45007,1,947
2015-11-13 11:51:36,0,45007,1,948
2015-11-13 11:51:46,0,45007,1,949
2015-11-13 11:51:56,0,45007,1,950
2015-11-13 11:52:06,0,45007,1,951
2015-11-13 11:52:16,0,45007,1,952
2015-11-13 11:52:26,0,45007,1,953
2015-11-13 11:52:36,0,45007,1,954
2015-11-13 11:52:46,0,45007,1,955
2015-11-13 11:52:56,0,45007,1,956
2015-11-13 11:53:06,0.217331185936928,45007,1,957
2015-11-13 11:53:16,0.434656471014023,45007,1,958
2015-11-13 11:53:26,0.651999831199646,45007,1,959
2015-11-13 11:53:36,0.869338035583496,45007,1,960
2015-11-13 11:53:46,1.08667123317719,45007,1,961
2015-11-13 11:53:56,1.30321061611176,45007,1,962
2015-11-13 11:54:06,1.30331563949585,45007,1,963
2015-11-13 11:54:16,1.30331563949585,45007,1,964
2015-11-13 11:54:26,1.30331563949585,45007,1,965
2015-11-13 11:54:36,1.79650994081015E-09,45007,1,966
2015-11-13 11:54:46,3.51428885991822E-09,45007,1,967
2015-11-13 11:54:56,3.51428885991822E-09,45007,1,968
2015-11-13 11:55:06,3.51428885991822E-09,45007,1,969
2015-11-13 11:55:16,3.51428885991822E-09,45007,1,970
2015-11-13 11:55:26,3.51428885991822E-09,45007,1,971
2015-11-13 11:55:36,3.51428885991822E-09,45007,1,972
2015-11-13 11:55:46,3.51428885991822E-09,45007,1,973
2015-11-13 11:55:56,3.51428885991822E-09,45007,1,974
2015-11-13 11:56:06,3.51428885991822E-09,45007,1,975
2015-11-13 11:56:17,3.51428885991822E-09,45007,1,976
2015-11-13 11:56:27,3.51428885991822E-09,45007,1,977
2015-11-13 11:56:37,3.51428885991822E-09,45007,1,978
2015-11-13 11:56:47,3.51428885991822E-09,45007,1,979
2015-11-13 11:56:57,3.51428885991822E-09,45007,1,980
2015-11-13 11:57:07,3.51428885991822E-09,45007,1,981
2015-11-13 11:57:17,3.51428885991822E-09,45007,1,982
2015-11-13 11:57:27,3.51428885991822E-09,45007,1,983
2015-11-13 11:57:37,3.51428885991822E-09,45007,1,984
2015-11-13 11:57:47,3.51428885991822E-09,45007,1,985
2015-11-13 11:57:57,3.51428885991822E-09,45007,1,986
2015-11-13 11:58:07,3.51428885991822E-09,45007,1,987
2015-11-13 11:58:17,3.51428885991822E-09,45007,1,988
2015-11-13 11:58:27,3.51428885991822E-09,45007,1,989
2015-11-13 11:58:37,3.51428885991822E-09,45007,1,990
2015-11-13 11:58:47,3.51428885991822E-09,45007,1,991
2015-11-13 11:58:57,3.51428885991822E-09,45007,1,992
2015-11-13 11:59:07,0.217316031455994,45007,1,993
2015-11-13 11:59:17,0.434648126363754,45007,1,994
2015-11-13 11:59:27,0.651992917060852,45007,1,995
2015-11-13 11:59:37,0.869341194629669,45007,1,996
2015-11-13 11:59:47,1.08667802810669,45007,1,997
2015-11-13 11:59:57,1.30399978160858,45007,1,998
2015-11-13 12:00:07,1.31579995155334,45007,1,999
2015-11-13 12:00:17,1.31592571735382,45007,1,1000
2015-11-13 12:00:27,1.31592571735382,45007,1,1001
2015-11-13 12:00:37,1.31592571735382,45007,1,1002
2015-11-13 12:00:47,1.30083788185686E-09,45007,1,1003
2015-11-13 12:00:57,1.30083788185686E-09,45007,1,1004
2015-11-13 12:01:07,1.30083788185686E-09,45007,1,1005
2015-11-13 12:01:17,1.30083788185686E-09,45007,1,1006
2015-11-13 12:01:27,1.30083788185686E-09,45007,1,1007
2015-11-13 12:01:37,1.30083788185686E-09,45007,1,1008
2015-11-13 12:01:47,1.30083788185686E-09,45007,1,1009
2015-11-13 12:01:57,1.30083788185686E-09,45007,1,1010
2015-11-13 12:02:07,1.30083788185686E-09,45007,1,1011
2015-11-13 12:02:17,1.30083788185686E-09,45007,1,1012
2015-11-13 12:02:27,1.30083788185686E-09,45007,1,1013
2015-11-13 12:02:37,1.30083788185686E-09,45007,1,1014
2015-11-13 12:02:47,1.30083788185686E-09,45007,1,1015
2015-11-13 12:02:57,1.30083788185686E-09,45007,1,1016
2015-11-13 12:03:07,1.30083788185686E-09,45007,1,1017
2015-11-13 12:03:13,1.30083788185686E-09,45007,1,1018
2015-11-13 12:03:24,1.30083788185686E-09,45007,1,1019
2015-11-13 12:03:34,1.30083788185686E-09,45007,1,1020
2015-11-13 12:03:44,1.30083788185686E-09,45007,1,1021
2015-11-13 12:03:54,1.30083788185686E-09,45007,1,1022
2015-11-13 12:04:04,1.30083788185686E-09,45007,1,1023
2015-11-13 12:04:14,1.30083788185686E-09,45007,1,1024
2015-11-13 12:04:24,1.30083788185686E-09,45007,1,1025
2015-11-13 12:04:34,1.30083788185686E-09,45007,1,1026
2015-11-13 12:04:44,1.30083788185686E-09,45007,1,1027
2015-11-13 12:04:54,1.30083788185686E-09,45007,1,1028
2015-11-13 12:05:04,1.30083788185686E-09,45007,1,1029
2015-11-13 12:05:14,0.217326134443283,45007,1,1030
2015-11-13 12:05:24,0.434664666652679,45007,1,1031
2015-11-13 12:05:34,0.651986300945282,45007,1,1032
2015-11-13 12:05:44,0.869329869747162,45007,1,1033
2015-11-13 12:05:54,1.08665215969086,45007,1,1034
2015-11-13 12:06:04,1.30398595333099,45007,1,1035
2015-11-13 12:06:14,1.30424618721008,45007,1,1036
2015-11-13 12:06:24,1.30436313152313,45007,1,1037
2015-11-13 12:06:34,1.30436313152313,45007,1,1038
2015-11-13 12:06:44,1.30436313152313,45007,1,1039
2015-11-13 12:06:54,5.4348825440087E-10,45007,1,1040
2015-11-13 12:07:04,5.4348825440087E-10,45007,1,1041
2015-11-13 12:07:14,5.4348825440087E-10,45007,1,1042
2015-11-13 12:07:24,5.4348825440087E-10,45007,1,1043
2015-11-13 12:07:34,5.4348825440087E-10,45007,1,1044
2015-11-13 12:07:44,5.4348825440087E-10,45007,1,1045
2015-11-13 12:07:54,5.4348825440087E-10,45007,1,1046
2015-11-13 12:08:04,5.4348825440087E-10,45007,1,1047
